"species_latin","ev_nytt_navn","latinsknavnid","stadium","indetermined","alien","blacklist_cat","native","last_updated"
"Bourletiella sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Brachystomella parvula (Schäffer, 1896)","",15131,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Bythinus burelli","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Campylosteira serena","",170119,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Cantharis cryptica","",10155,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Carpelimus corticinus","",12471,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Carpelimus rivularis","",12488,"adult",f,f,"",f,"2018-10-05 09:10:37.438748"
"Carpelimus sp.","",,"adult",f,f,"",f,"2018-10-05 09:10:46.436172"
"Carpelimus subtilis","",12490,"adult",f,f,"",f,"2018-10-05 09:10:57.424127"
"Carpelimus tetracarinatus","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Carpelimus zealandicus","",12491,"adult",f,t,"NK",f,"2018-06-26 10:18:18.509006"
"Carpelimus zealandicus juv.","",12491,"larvae",f,t,"NK",f,"2018-06-26 10:18:18.509006"
"Cartodere bifasciata","",7885,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Cartodere nodifer","",7886,"adult",f,t,"PH",f,"2018-06-26 10:18:18.509006"
"Ceratophysella denticulata (Bagnall, 1941)","",15096,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Ceratophysella engadinensis (Gisin, 1949)","",119986,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Ceratophysella gibbosa (Bagnall, 1940)","",15099,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Ceratophysella sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Ceratophysella succinea Gisin, 1949","",15098,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Ceutorhynchus hirtulus","",8434,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"cf. Lepisma saccharina (sølvkre)","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Chaetocnema concinna","",6755,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Chaetocnema hortensis","",6757,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Chaetophora spinosa","",10059,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Chilopoda spp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Cis micans","",9419,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Clambus simsoni","",10523,"adult",f,t,"NK",f,"2018-06-26 10:18:18.509006"
"Clivina fossor","",5708,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Coccinella undecimpunctata","",7466,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Coccioidea spp. juv. and adult","",,"nymph and adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Coleoptera spp. juv","",,"larvae",f,f,"",f,"2018-06-26 10:18:18.509006"
"Colon sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Corticaria cf. lapponica","",,"adult",f,f,"",f,"2018-10-05 09:11:08.732305"
"Corticarina cavicollis","",169210,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Corticarina fuscula","",14910,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Cortinicara gibbosa","",7870,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Dermaptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Deruterosminthurus sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Desoria grisea (Lubbock, 1869)","",15566,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Desoria hiemalis (Schött, 1893)","",15547,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Desoria trispinata  (MacGillivray, 1896)","",15568,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Dicyrtoma minuta  (Fabricius, 1783)","",15733,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Dicyrtoma sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
