"species_latin","ev_nytt_navn","latinsknavnid","stadium","indetermined","alien","blacklist_cat","native","last_updated"
"Polyxenus lagurus (børstetusenbein)","",48339,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Ponera testacea","",169230,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Pongeiella falca (Christiansen & Bellinger, 1980)","",120073,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Proisotoma minuta (Tullberg, 1871)","",15453,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Proisotoma subminuta Denis, 1931","",15455,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Protaphorura armata (Tullberg, 1869)","",15250,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Protaphorura cancellata (Gisin, 1956)","",15256,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Protaphorura fimata (Gisin, 1952)","",15272,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Protaphorura pulvinata (Gisin, 1954)","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Protaphorura sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Protapion fulvipes","",8346,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Proteinus laevigatus","",12615,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Proteinus ovalis","",12616,"adult",f,f,"",f,"2018-10-05 09:47:53.788285"
"Pseudachorutes parvulus Börner, 1901","",15158,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Pseudisotoma monochaeta (Kos, 1942)","",15510,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Pseudisotoma sensibilis  (Tullberg, 1876)","",15508,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Pseudoscorpiones spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Pseudosinella sexoculata Schött, 1902","",15611,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Pseudosinella sp.","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Psocoptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Ptenidium nitidum","",11327,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Quedius semiaeneus","",12946,"adult",f,f,"",f,"2018-10-05 09:48:30.659833"
"Rabigus pullus","",169738,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Rhinoncus perpendicularis","",8558,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Schistoglossa curtipennis","",11829,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Scolopostethus affinis","",110365,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Scopaeus cf. reyi","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Scopaeus laevigatus","",12576,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Scopaeus ryei","",12579,"adult",f,f,"",f,"2018-10-05 09:48:47.386831"
"Scopaeus sp. A","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Sericoderus lateralis","",7564,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Silometopus ambiguus","",2926,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Simplocaria semistriata","",10055,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Sinella tenebricosa Folsom, 1902","",15577,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Sminthurides sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Sminthurinus elegans (Fitch, 1863)","",15710,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Sminthurinus lawrencei (Gisin, 1963)","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Sminthurinus niger (Lubbock, 1868)","",15717,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Sminthurinus sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Sminthurinus trinotatus Axelson, 1905","",15719,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Solenopsis fugax","",169218,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Sphaeridia pumilis (Krausbauert, 1898)","",15670,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Stenaphorura lubbocki Bagnall, 1935","",15294,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Stenichnus sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Stenus argus","",13045,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Stenus impressus","",13010,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Stenus juno","",13074,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Stephostethus lardarius","",7922,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Sternorrhyncha spp. juv.","",,"nymph",f,f,"",f,"2018-06-26 10:18:18.509006"
"Strumigenys membranifera","",169217,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Symphyla spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Symphyta spp. juv.","",,"larvae",f,f,"",f,"2018-06-26 10:18:18.509006"
"Tachyporus cf. pusillus","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tachyporus chrysomelinus","",13213,"adult",f,f,"",f,"2018-10-05 09:49:05.926786"
"Tachyporus dispar","",13215,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tachyporus nitidulus","",13219,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tachyporus obtusus","",13221,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tachyura parvula","",5828,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Tapinoma nigerrimum","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Telmatophilus typhae","",7729,"adult",f,f,"",f,"2018-10-05 09:49:21.783031"
"Temnothorax nylanderi (skogdvergmaur)","",128815,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tetramorium caespitum (mørk sandmaur)","",119161,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tetramorium semilaeve","",152653,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Thalassaphorura encarpata (Denis, 1931)","",15246,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Thecturota marchii","",11954,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Theridiidae spp. juv.","",,"juvenile",f,f,"",f,"2018-06-26 10:18:18.509006"
"Thysanoptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Thysanoptera spp. juv and adult","",,"nymph and adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Tinotus morion","",11520,"adult",f,f,"",f,"2018-10-05 09:49:37.351063"
"Tomocerus minor (Lubbock, 1862)","",15645,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tomocerus sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Tomocerus vulgaris (Tullberg, 1871)","",15647,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Toramus cf. pulchellus","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Trichiusa immigrata","",11841,"adult",f,f,"",f,"2018-10-05 09:49:54.169588"
"Trotoma pubescens","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Tychius picirostris","",8798,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Tychus pullus","",170413,"adult",f,f,"",f,"2018-10-05 09:50:08.264673"
"Tychus sp.","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Vertagopus arboreus (Linnaeus, 1758)","",15495,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Vertagopus sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Willemia anophthalma Börner, 1901","",15122,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Willemia denisi Mills, 1932","",15126,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Willemia intermedia Mills, 1934","",15123,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Willowsia nigromaculata (Lubbock, 1873)","",15619,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Xantholinus longiventris","",13000,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Xantholinus sp. A","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Xantholinus sp. B","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Xantholinus sp. (hunner)","",,"adult",f,f,"",f,"2018-10-05 09:51:07.832758"
"Xenylla grisea Axelson, 1900","",15119,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Xenylla maritima Tullberg, 1869","",15115,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Xenylla mediterranea Gama, 1964","",15117,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Xenylla sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Xenylla welchi Folsom, 1916","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
