"id","latinsknavnid","projectid","phylum","class","subclass","order","underorder","family","old_description","genus","species","species_latin","stadium","indetermined","alien","blacklist_cat","native","last_updated_by","last_updated","autorstring"
"fb5a4f28-c86b-11e8-b36f-001cc4ddf696",,"fb5a500e-c86b-11e8-b36f-001cc4ddf696","","","","","","","","Aleocharinae","sp.","Aleocharinae sp. D","adult",f,f,"",f,"jens.astrom","2018-10-05 08:58:03.394941",""
"11ac46c8-c86c-11e8-b36f-001cc4ddf696",5666,"11ac47ae-c86c-11e8-b36f-001cc4ddf696","","","","","","","","Amara","tibialis","Amara tibialis","adult",f,f,"",f,"jens.astrom","2018-10-05 08:58:31.332394",""
"e1986532-ea78-11e8-9c33-001cc4ddf696",2962,"e1986618-ea78-11e8-9c33-001cc4ddf696","","","","","","","","Thyreosthenius","parasiticus","Thyreosthenius parasiticus","adult",f,f,"",f,"jens.astrom","2018-11-17 15:55:53.663416",""
"3c9a82f0-c86c-11e8-b36f-001cc4ddf696",,"3c9a83f4-c86c-11e8-b36f-001cc4ddf696","","","","","","","","Anotylus","sp.","Anotylus sp. B","adult",f,f,"",f,"jens.astrom","2018-10-05 08:59:54.915962",""
"59d24f6a-c86c-11e8-b36f-001cc4ddf696",12234,"59d25050-c86c-11e8-b36f-001cc4ddf696","","","","","","","","Anthobium","unicolor","Anthobium unicolor","adult",f,f,"",f,"jens.astrom","2018-10-05 09:00:32.377596",""
"042f6cb8-c86d-11e8-b36f-001cc4ddf696",10642,"042f6da8-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Aphodius","prodromus","Aphodius prodromus","adult",f,f,"",f,"jens.astrom","2018-10-05 09:05:18.200468",""
"11a9cdd4-c86d-11e8-b36f-001cc4ddf696",,"11a9cece-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Atheta","sp.","Atheta sp. A","adult",f,f,"",f,"jens.astrom","2018-10-05 09:05:40.8129",""
"37737038-c86d-11e8-b36f-001cc4ddf696",,"3773711e-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Atheta","sp.9","Atheta sp.9 (jfr. 2012)","adult",f,f,"",f,"jens.astrom","2018-10-05 09:06:44.21006",""
"63ebbf80-c86d-11e8-b36f-001cc4ddf696",7600,"63ebc070-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Atomaria","longicornis","Atomaria longicornis","adult",f,f,"",f,"jens.astrom","2018-10-05 09:07:58.818263",""
"7c4f3994-c86d-11e8-b36f-001cc4ddf696",,"7c4f3a84-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Atomaria","sp.","Atomaria sp.","adult",f,f,"",f,"jens.astrom","2018-10-05 09:08:39.735511",""
"a3e7fac2-c86d-11e8-b36f-001cc4ddf696",5797,"a3e7fbb2-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Bembidion","quadrimaculatum","Bembidion quadrimaculatum","adult",f,f,"",f,"jens.astrom","2018-10-05 09:09:46.167718",""
"a9770582-c86d-11e8-b36f-001cc4ddf696",5806,"a9770672-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Bembidion","tetracolum","Bembidion tetracolum","adult",f,f,"",f,"jens.astrom","2018-10-05 09:09:55.493768",""
"bbbbf81a-c86d-11e8-b36f-001cc4ddf696",,"bbbbf90a-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Bibloplectus","sp.","Bibloplectus sp.","adult",f,f,"",f,"jens.astrom","2018-10-05 09:10:26.144627",""
"c27750aa-c86d-11e8-b36f-001cc4ddf696",12488,"c27751ae-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Carpelimus","rivularis","Carpelimus rivularis","adult",f,f,"",f,"jens.astrom","2018-10-05 09:10:37.438748",""
"c7d4377a-c86d-11e8-b36f-001cc4ddf696",,"c7d43860-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Carpelimus","sp.","Carpelimus sp.","adult",f,f,"",f,"jens.astrom","2018-10-05 09:10:46.436172",""
"ce60d792-c86d-11e8-b36f-001cc4ddf696",12490,"ce60d882-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Carpelimus","subtilis","Carpelimus subtilis","adult",f,f,"",f,"jens.astrom","2018-10-05 09:10:57.424127",""
