"species_latin","latinsknavnid","order","alien","blacklist_cat"
"Entomobrya nigrocincta",,"Collembola",t,""
"Entomobrya nigrocincta/multifasciata",,"Collembola",f,""
"Entomobrya sp.",,"Collembola",f,""
"Entomobrya sp. juv.",,"Collembola",f,""
"Ephistemus globulus",7652,"Coleoptera",f,""
"Erichsonius signaticornis",,"Coleoptera",t,"NK"
"Erigone atra",2743,"Araneae",f,""
"Erigone dentosa",170277,"Araneae",t,"NR"
"Euplectus karsteni",13453,"Coleoptera",f,""
"Eupteryx decemnotata",111186,"Hemiptera",t,"LO"
"Folsomia candida",15372,"Collembola",f,""
"Folsomia fimetaria",15367,"Collembola",f,""
"Folsomia kuznetsovae",119988,"Collembola",f,""
"Folsomia litsteri",15379,"Collembola",f,""
"Folsomia manolachei",15390,"Collembola",f,""
"Folsomia quadrioculata",15388,"Collembola",f,""
"Folsomia similis",15400,"Collembola",t,"LO"
"Folsomides centralis",,"Collembola",t,""
"Folsomides parvulus",15428,"Collembola",f,""
"Folsomides sp.",,"",t,""
"Folsomina onychiurina",,"Collembola",t,""
"Formica rufa",119214,"Hymenoptera",f,""
"Friesea claviseta",15143,"Collembola",f,""
"Friesea mirabilis",15139,"Collembola",f,""
"Friesea sp. 0+0 oc",,"Collembola",t,""
"Friesea truncata",15142,"Collembola",f,""
"Gabrius appendiculatus",12782,"Coleoptera",f,""
"Gabrius breviventer",12786,"Coleoptera",f,""
"Gabrius sp. (hunner)",,"",f,""
"Gabronthus thermarum",12802,"Coleoptera",t,"LO"
"Gastropoda spp.",,"Gastropoda",f,""
"Gnathonarium dentatum",2758,"Araneae",f,""
"Gongylidiellum latebricola",2764,"Araneae",f,""
"Gyrohypnus angustatus",12972,"Coleoptera",f,""
"Harpalus affinis",5397,"Coleoptera",f,""
"Harpalus rubripes",5416,"",f,""
"Harpalus tardus",5423,"Coleoptera",f,""
"Helophorus brevipalpis",10913,"Coleoptera",f,""
"Helophorus obscurus",10925,"Coleoptera",f,""
"Helophorus porculus",169734,"Coleoptera",t,"LO"
"Hemisotoma bipunctata",,"",f,""
"Hemisotoma ponticus",,"Collembola",t,""
"Hemisotoma scapellifer",,"Collembola",f,""
"Hemisotoma thermophila",,"Collembola",f,""
"Heteromurus major",,"Collembola",t,""
"Heteroptera spp.",,"Heteroptera",f,""
"Heteroptera spp. juv",,"Heteroptera",f,""
"Holoparamecus niger",169742,"Coleoptera",t,"NR"
"Hydrosmecta leptotyphloides",,"",f,""
"Hypogastrura assimilis",15070,"Collembola",f,""
"Hypogastrura distincta",,"",t,""
"Hypogastrura purpurescens",15073,"Collembola",f,""
"Hypoponera cf. eduardi",,"Hymenoptera",t,"NR"
"Hypoponera sp.",156721,"Hymenoptera",f,""
"Ischnosoma bergrothi",13124,"",f,""
"Isotoma anglicana",15532,"Collembola",f,""
"Isotoma caerulea",15531,"Collembola",f,""
"Isotoma sp. juv.",,"Collembola",f,""
"Isotoma viridis",15528,"Collembola",f,""
"Isotomiella minor",15411,"Collembola",f,""
"Isotomodes productus",15407,"",f,""
"Isotomurus graminis",15484,"Collembola",f,""
"Isotomurus maculatus",15476,"Collembola",f,""
"Isotomurus palustris",15474,"Collembola",f,""
"Isotomurus pseudopalustris",,"Collembola",t,""
"Isotomurus sp. juv.",,"Collembola",f,""
"Kleidocerys resedae",110306,"Hemiptera",f,""
"Lasius fuliginosus",119200,"Hymenoptera",f,""
"Lasius niger",119188,"Hymenoptera",f,""
"Lasius platythorax",119189,"Hymenoptera",f,""
"Latridius porcatus",7916,"",f,""
"Leiodes sp.",,"Coleoptera",f,""
"Lepidocyrtus cf. lanuginosus",,"Collembola",f,""
"Lepidocyrtus pallidus",15605,"Collembola",t,"LO"
"Lepidocyrtus sp.",,"Collembola",f,""
"Lepidoptera spp.",,"Lepidoptera",f,""
"Lepidoptera spp. juv.",,"Lepidoptera",f,""
"Lesteva longoelytrata",12261,"Coleoptera",f,""
"Linepithema humile",119174,"Hymenoptera",t,"HI"
"Lochmaea suturalis",7205,"Coleoptera",f,""
"Lygus rugulipennis",109856,"Hemiptera",f,""
"Mecinus pascuorum",8721,"Coleoptera",f,""
"Medon sp.",,"Coleoptera",t,""
"Megalothorax minimus",15659,"Collembola",f,""
"Megasternum concinnum",11028,"Coleoptera",f,""
"Megophthalmus scanicus",111035,"Hemiptera",f,""
"Melanophthalma fuscipennis",169741,"Coleoptera",t,"NR"
"Meotica cf. marchica",,"Coleoptera",t,"NR"
"Meotica sp.",,"Coleoptera",t,""
"Meotica sp. A",,"",f,""
"Meotica sp. B",,"",f,""
"Mermessus denticulatus",,"",t,""
"Mermessus trilobatus",,"",t,""
"Mermessus trilobatus/denticulatus",,"Araneae",t,""
"Mesaphorura critica",15321,"Collembola",f,""
"Mesaphorura delamarei",,"Collembola",t,""
"Mesaphorura hylophila",15322,"Collembola",f,""
"Mesaphorura italica",15317,"Collembola",f,""
"Mesaphorura jarmilae",15324,"Collembola",f,""
"Mesaphorura jevanica",,"Collembola",t,""
"Mesaphorura jirii",15323,"Collembola",f,""
"Mesaphorura krausbaueri",15311,"Collembola",f,""
"Mesaphorura macrochaeta",15310,"Collembola",f,""
"Mesaphorura pongei",15314,"Collembola",f,""
"Mesaphorura simoni",,"Collembola",t,""
"Mesaphorura sp. juv.",,"Collembola",f,""
"Mesaphorura tenuisensillata",15325,"Collembola",f,""
"Mesaphorura yosii",15315,"Collembola",f,""
"Metabletus truncatellus",,"Coleoptera",f,""
"Metopsia clypeata",12607,"Coleoptera",f,""
"Micranurida pygmaea",15167,"Collembola",f,""
"Micranurophorus musci",15364,"Collembola",f,""
"Micraphorura absoloni",15213,"Collembola",f,""
"Micropeplus porcatus",12218,"Coleoptera",f,""
"Monotoma brevicollis",7934,"Coleoptera",f,""
"Morychus aeneus",10047,"Coleoptera",f,""
"Murcrosomia garretti",,"Collembola",t,""
"Mycetoporus baudueri",13138,"",f,""
"Myrmica rubra",119133,"Hymenoptera",f,""
"Myrmica ruginodis",119135,"Hymenoptera",f,""
"Neanura muscorum",15199,"Collembola",f,""
"Nematoda spp.",,"Nematoda",f,""
"Neuraphes sp.",,"Coleoptera",f,""
"Neuroptera spp.",,"Neuroptera",f,""
"Nysius ericae",110295,"Hemiptera",f,""
"Nysius senecionis",170565,"",t,"NR"
"Olibrus aeneus",8112,"Coleoptera",f,""
"Oligochaeta spp.",,"Oligochaeta",f,""
"Oligota pusillima",11984,"Coleoptera",f,""
"Omalium rivulare",12332,"Coleoptera",f,""
"Oniscidea spp.",,"Isopoda",f,""
"Onychiurus cf. volinensis",,"Collembola",t,""
"Onychiurus folsomi",15284,"Collembola",f,""
"Onychiurus normalis",15283,"Collembola",t,"LO"
"Opiliones spp.",,"Opiliones",f,""
"Orchesella cincta",15623,"Collembola",f,""
"Orchesella sp. juv.",,"Collembola",f,""
"Orius sp.",,"Hemiptera",f,""
"Ostearius melanopygius",2881,"Araneae",t,"PH"
"Othius laeviusculus",12744,"",t,""
"Otiorhynchus ovatus",8869,"Coleoptera",f,""
"Otiorhynchus sulcatus",8880,"",f,""
"Oxidus gracilis",48364,"Diplopoda",t,"NR"
"Oxypoda exoleta",12116,"Coleoptera",f,""
"Oxypoda sp.1",,"Coleoptera",f,""
"Oxypoda sp.2",,"Coleoptera",t,""
"Oxypoda sp.3",,"Coleoptera",f,""
"Oxypoda sp.4",,"Coleoptera",f,""
"Oxypoda sp.5",,"Coleoptera",f,""
"Oxypoda spp.",,"",f,""
"Ozyptila sp. juv.",,"Araneae",f,""
"Paralister purpurascens",13365,"Coleoptera",f,""
"Paranurophorus simplex",,"Collembola",t,""
"Parascythopus intrusus",,"",f,""
"Parasitica spp.",,"Hymenoptera",f,""
"Paratullbergia callipygos",15306,"Collembola",f,""
"Paratullbergia macdougalli",,"Collembola",t,""
"Parisotoma notabilis",15517,"Collembola",f,""
"Pelecopsis mengei",2888,"Araneae",f,""
"Peponocranium ludicrum",2892,"Araneae",f,""
