species_latin,species_norsk,autorstreng,native,alien
Felicia amelloides,NA,NA,TRUE,FALSE
Festuca glauca,Sausesvingel,NA,TRUE,FALSE
Festuca rubra,rødsvingel,NA,TRUE,FALSE
Ficus carina,NA,NA,TRUE,FALSE
Filaginella uliginosa,Apeskrekk,NA,TRUE,FALSE
Fuchsia,NA,NA,TRUE,FALSE
Galinsoga ciliata,NA,NA,TRUE,FALSE
Galinsoga parviflora,peruskjellfrø,NA,FALSE,TRUE
Galinsoga quadriradiata,nesleskjellfrø,NA,FALSE,TRUE
Galium,Spirblom,NA,TRUE,FALSE
Gamochaeta pensylvanica,NA,NA,FALSE,TRUE
Geranium pusillum,småstorkenebb,NA,TRUE,FALSE
Glyceria fluitans,NA,NA,TRUE,FALSE
Gnaphalium uliginosum,åkergråurt,NA,TRUE,FALSE
Gras - hårete,NA,NA,TRUE,FALSE
Hårete lite gras 2 priklet,NA,NA,TRUE,FALSE
Hebe,NA,NA,TRUE,FALSE
Hebe andersonii,NA,NA,TRUE,FALSE
Hedemix,NA,NA,TRUE,FALSE
Hedera,NA,NA,TRUE,FALSE
Hedera helix,Bergflette,NA,TRUE,FALSE
Helichrysum,NA,NA,TRUE,FALSE
Helicrisium,Stråblomslekta,NA,TRUE,FALSE
Helleborus,Julerose,NA,TRUE,FALSE
Holcus lanatus,englodnegras,NA,TRUE,FALSE
Howea sp.,NA,NA,FALSE,TRUE
Humulus cf. yunnanensis,sommerfuglbusk,NA,FALSE,TRUE
Hydrangea,Hortensia,NA,TRUE,FALSE
Hydrangea anomala,Klatrehortensia,NA,TRUE,FALSE
Hydrangea macrophylla,NA,NA,TRUE,FALSE
Hydrangea paniculata,Syrinhortensia,NA,TRUE,FALSE
Ilex,Kristtornslekta,NA,TRUE,FALSE
Juncus articulatus,NA,NA,TRUE,FALSE
Juncus bufonius,paddesiv,NA,TRUE,FALSE
Juncus bulbosus,sumpsiv,NA,TRUE,FALSE
Juncus cf. conglomeratus,NA,NA,TRUE,FALSE
Juncus cf. effusus,NA,NA,TRUE,FALSE
Juncus cf. filiformis,bergrørkvein,NA,TRUE,FALSE
Juncus compressus,flatsiv,NA,TRUE,FALSE
Juncus conglomeratus,knappsiv,NA,TRUE,FALSE
Juncus filiformis,trådsiv,NA,TRUE,FALSE
Juniperus,Einer,NA,TRUE,FALSE
Juniperus chinensis,Kinaeiner,NA,TRUE,FALSE
Juniperus/Picea,Einer/Gran,NA,TRUE,FALSE
Juniperus procumbens,NA,NA,TRUE,FALSE
Juniperus squamata,NA,NA,TRUE,FALSE
Lactuca muralis,NA,NA,TRUE,FALSE
Lamium amplexicaule ssp. amplexicaule,åkertvetann,NA,TRUE,FALSE
Lamium confertum,vrangtvetann,NA,TRUE,FALSE
Larix kaempferi,Japanlerk,NA,TRUE,FALSE
Laurus nobilis,Ekte laurbær,NA,TRUE,FALSE
