container,subsample,species_latin,amount
74,1,Micranurida pygmaea,2
74,1,Mesaphorura yosii,8
74,1,Parisotoma notabilis,16
74,2,Mesaphorura yosii,20
74,2,Folsomia candida,8
74,2,Murcrosomia garretti,12
74,2,Proisotoma subminuta,8
74,2,Parisotoma notabilis,36
74,2,Entomobrya sp. juv.,4
74,2,Lepidocyrtus pallidus,8
74,2,Lepidocyrtus sp.,4
74,3,Micraphorura absoloni,20
74,3,Mesaphorura yosii,8
74,3,Proisotoma subminuta,12
74,3,Parisotoma notabilis,36
74,3,Entomobrya sp. juv.,4
74,3,Lepidocyrtus pallidus,12
74,4,Mesaphorura yosii,20
74,4,Folsomia candida,4
74,4,Proisotoma minuta,4
74,4,Proisotoma subminuta,4
74,4,Parisotoma notabilis,8
74,4,Lepidocyrtus pallidus,4
74,5,Friesea mirabilis,1
74,5,Thalassaphorura encarpata,5
74,5,Mesaphorura sp. juv.,1
74,5,Parisotoma notabilis,5
74,5,Lepidocyrtus pallidus,14
74,6,Micranurida pygmaea,1
74,6,Thalassaphorura encarpata,1
74,6,Mesaphorura yosii,10
74,6,Murcrosomia garretti,10
74,6,Proisotoma minuta,1
74,6,Proisotoma subminuta,3
74,6,Parisotoma notabilis,21
74,6,Lepidocyrtus pallidus,3
74,7,Thalassaphorura encarpata,1
74,7,Mesaphorura yosii,140
74,7,Folsomia candida,6
74,7,Proisotoma subminuta,7
74,7,Parisotoma notabilis,26
74,7,Lepidocyrtus pallidus,1
74,8,Micranurida pygmaea,2
74,8,Mesaphorura yosii,96
74,8,Proisotoma minuta,2
74,8,Proisotoma subminuta,6
74,8,Parisotoma notabilis,70
74,8,Lepidocyrtus pallidus,4
74,9,Mesaphorura simoni,4
74,9,Mesaphorura yosii,12
74,9,Proisotoma subminuta,4
74,9,Parisotoma notabilis,88
74,9,Lepidocyrtus pallidus,8
74,10,Mesaphorura yosii,76
74,10,Murcrosomia garretti,12
74,10,Proisotoma subminuta,4
74,10,Parisotoma notabilis,68
74,10,Entomobrya sp.,4
75,1,Mesaphorura macrochaeta,8
75,1,Folsomia similis,148
75,1,Proisotoma subminuta,10
75,1,Parisotoma notabilis,4
75,2,Thalassaphorura encarpata,32
75,2,Mesaphorura macrochaeta,12
75,2,Mesaphorura yosii,4
75,2,Folsomia similis,80
75,2,Desoria trispinata,8
75,2,Parisotoma notabilis,44
75,3,Mesaphorura macrochaeta,60
75,3,Mesaphorura yosii,20
75,3,Folsomia similis,120
75,3,Desoria trispinata,8
75,3,Parisotoma notabilis,112
75,3,Megalothorax minimus,4
75,3,Sminthurinus trinotatus,12
75,4,Thalassaphorura encarpata,32
75,4,Mesaphorura macrochaeta,36
75,4,Mesaphorura jevanica,4
75,4,Mesaphorura yosii,76
75,4,Folsomia similis,100
75,4,Proisotoma subminuta,16
75,4,Desoria trispinata,24
75,4,Parisotoma notabilis,32
75,4,Entomobrya sp.,4
75,4,Entomobrya sp. juv.,4
75,4,Sminthurinus trinotatus,16
75,5,Mesaphorura macrochaeta,64
75,5,Mesaphorura yosii,12
75,5,Folsomia similis,84
75,5,Parisotoma notabilis,88
75,5,Entomobrya sp. juv.,4
75,5,Sminthurinus trinotatus,4
75,6,Thalassaphorura encarpata,2
75,6,Mesaphorura macrochaeta,8
75,6,Mesaphorura yosii,16
