species_latin,stadium,indetermined,autorstring
Erichsonius signaticornis,adult,FALSE,NA
Erigone atra,adult,FALSE,NA
Erigone dentosa,adult,FALSE,NA
Euplectus karsteni,adult,FALSE,NA
Eupteryx decemnotata,adult,FALSE,NA
Folsomia candida,adult,FALSE,"(Willem, 1902)"
Folsomia fimetaria,adult,FALSE,"(Linnaeus, 1758)"
Folsomia kuznetsovae,adult,FALSE,"Potapov & Taskaeva, 2009"
Folsomia litsteri,adult,FALSE,"Bagnall, 1939"
Folsomia manolachei,adult,FALSE,"Bagnall, 1939"
Folsomia quadrioculata,adult,FALSE,"(Tullberg, 1871)"
Folsomia similis,adult,FALSE,"Bagnall, 1939"
Folsomides centralis,adult,FALSE,"(Denis, 1931)"
Folsomides parvulus,adult,FALSE,"Stach, 1922"
Folsomides sp.,adult,TRUE,NA
Folsomina onychiurina,adult,FALSE," Denis, 1931"
Formica rufa,adult,FALSE,NA
Friesea claviseta,adult,FALSE,"Axelson, 1900"
Friesea mirabilis,adult,FALSE,"(Tullberg, 1871)"
Friesea sp. 0+0 oc,adult,TRUE,NA
Friesea truncata,adult,FALSE,"Cassagnau, 1958"
Gabrius appendiculatus,adult,FALSE,NA
Gabrius breviventer,adult,FALSE,NA
Gabrius sp. (hunner),adult,TRUE,NA
Gabronthus thermarum,adult,FALSE,NA
Gastropoda spp.,adult,TRUE,NA
Gnathonarium dentatum,adult,FALSE,NA
Gongylidiellum latebricola,adult,FALSE,NA
Gyrohypnus angustatus,adult,FALSE,NA
Harpalus affinis,adult,FALSE,NA
Harpalus rubripes,adult,FALSE,NA
Harpalus tardus,adult,FALSE,NA
Helophorus brevipalpis,adult,FALSE,NA
Helophorus obscurus,adult,FALSE,NA
Helophorus porculus,adult,FALSE,NA
Hemisotoma bipunctata,adult,FALSE,NA
Hemisotoma ponticus,adult,FALSE,"(Stach, 1947)"
Hemisotoma scapellifer,adult,FALSE,"(Gisin, 1955)"
Hemisotoma thermophila,adult,FALSE,"(Axelson, 1990)"
Heteromurus major,adult,FALSE,"Moniez, 1889"
Heteroptera spp.,adult,TRUE,NA
Heteroptera spp. juv,juvenile,TRUE,NA
Heteroptera spp. juv.,nymph,TRUE,NA
Holoparamecus niger,adult,FALSE,NA
Hydrosmecta leptotyphloides,adult,FALSE,NA
Hypogastrura assimilis,adult,FALSE,"Krausbauer, 1898"
Hypogastrura distincta,adult,FALSE,NA
Hypogastrura purpurescens,adult,FALSE,"(Lubbock, 1867)"
