species_latin,container,subsample,amount
Thyreosthenius parasiticus,75,3,1
Mermessus trilobatus,81,7,1
Mermessus denticulatus,83,10,1
Mermessus trilobatus,84,9,1
Xysticus sp.,85,6,1
Steatoda bipunctata,86,5,1
Erigone dentosa,87,9,1
