container,subsample,locality,date_sampled,date_in,date_out,netting_type,species_latin,plant_comment,wet_volume,wet_weight,dry_volume,dry_weight,exporter,country,transport_type,pdf_present,mattilsynet,comment_certificate,oh_recieved,container_weight,number_of_articles,number_of_species,number_total,volume_per_crate,comment_contents
29,5,Plantasjen Skedsmo,2015-04-26,2015-04-27,2015-04-30,F,Cardamine pratensis,viftelønn,2,554,1.5,198,Plantagen source,Germany,NA,TRUE,FALSE,NA,NA,NA,7,82,3517,NA,Litt usikker på sertifikatet her
1,2,Primaflor,2014-04-04,2014-04-06,2014-04-07,G,Lavandula,NA,2,NA,1.5,351,GASA,Germany,Road,FALSE,FALSE,NA,NA,NA,60,8,2423,NA,NA
1,3,Primaflor,2014-04-04,2014-04-06,2014-04-07,G,Hydrangea,Hortensia,2,NA,1.5,142,GASA,Germany,Road,FALSE,FALSE,Mulig og fra Waterdrinker (har to sertifikater på samme last),NA,NA,18,8,2423,NA,NA
1,4,Primaflor,2014-04-04,2014-04-06,2014-04-07,F,Helleborus,"Pink frost Christrose Rosea ""julerose""",2,NA,1.2,156,GASA,Germany,Road,TRUE,FALSE,NA,NA,NA,1155,8,2423,NA,NA
62,1,Primaflor,2017-04-20,2017-04-20,2017-04-24,G,Rhododendron,NA,1,399,1,126,Jules Block,Belgium,Sea,TRUE,TRUE,NA,NA,NA,2497,1,2497,NA,NA
