species_latin,stadium,indetermined,autorstring,native,alien,blacklist_cat
Thysanoptera spp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Thysanoptera spp. juv and adult,nymph and adult,TRUE,NA,FALSE,FALSE,NA
Tinotus morion,adult,FALSE,NA,FALSE,FALSE,NA
Tomocerus minor,adult,FALSE,"(Lubbock, 1862)",TRUE,FALSE,NA
Tomocerus sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Tomocerus vulgaris,adult,FALSE,"(Tullberg, 1871)",TRUE,FALSE,NA
Toramus cf. pulchellus,adult,FALSE,NA,FALSE,TRUE,NR
Trichiusa immigrata,adult,FALSE,NA,FALSE,FALSE,NA
Trotomma pubescens,adult,FALSE,NA,FALSE,TRUE,NR
Tychius picirostris,adult,FALSE,NA,TRUE,FALSE,NA
Tychus pullus,adult,FALSE,NA,FALSE,TRUE,NR
Vertagopus arboreus,adult,FALSE,"(Linnaeus, 1758)",TRUE,FALSE,NA
Vertagopus sp.,adult,TRUE,NA,FALSE,FALSE,NA
Willemia anophthalma,adult,FALSE,"Börner, 1901",TRUE,FALSE,NA
Willemia denisi,adult,FALSE,"Mills, 1932",TRUE,FALSE,NA
Willemia intermedia,adult,FALSE,"Mills, 1934",TRUE,FALSE,NA
Willemia sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Willowsia nigromaculata,adult,FALSE,"(Lubbock, 1873)",TRUE,FALSE,NA
Xantholinus longiventris,adult,FALSE,NA,TRUE,FALSE,NA
Xantholinus sp. A,adult,TRUE,NA,FALSE,FALSE,NA
Xantholinus sp. B,adult,TRUE,NA,FALSE,FALSE,NA
Xantholinus sp. (hunner),adult,TRUE,NA,FALSE,FALSE,NA
Xenylla grisea,adult,FALSE,"Axelson, 1900",TRUE,FALSE,NA
Xenylla malayana,adult,FALSE,NA,FALSE,TRUE,NA
Xenylla maritima,adult,FALSE,"Tullberg, 1869",TRUE,FALSE,NA
Xenylla mediterranea,adult,FALSE,"Gama, 1964",TRUE,FALSE,NA
Xenylla sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Xenylla welchi,adult,FALSE,"Folsom, 1916",FALSE,TRUE,NA
Xysticus sp.,adult,TRUE,NA,FALSE,FALSE,NA
