species_latin,stadium,indetermined,autorstring,native,alien,blacklist_cat
Ceratophysella sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Ceratophysella succinea,adult,FALSE,"Gisin, 1949",TRUE,FALSE,NA
Ceutorhynchus hirtulus,adult,FALSE,NA,TRUE,FALSE,NA
cf. Lepisma saccharina (sølvkre),adult,TRUE,NA,FALSE,FALSE,NA
Chaetocnema concinna,adult,FALSE,NA,TRUE,FALSE,NA
Chaetocnema hortensis,adult,FALSE,NA,TRUE,FALSE,NA
Chaetophora spinosa,adult,FALSE,NA,FALSE,TRUE,NR
Chilopoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Cis micans,adult,FALSE,NA,TRUE,FALSE,NA
Clambus simsoni,adult,FALSE,NA,FALSE,TRUE,LO
Clivina fossor,adult,FALSE,NA,TRUE,FALSE,NA
Coccinella undecimpunctata,adult,FALSE,NA,TRUE,FALSE,NA
Coccioidea spp. juv. and adult,nymph and adult,TRUE,NA,FALSE,FALSE,NA
Coleoptera spp. juv,larvae,TRUE,NA,FALSE,FALSE,NA
Colon sp.,adult,TRUE,NA,FALSE,FALSE,NA
Corticaria cf. lapponica,adult,FALSE,NA,FALSE,FALSE,NA
Corticarina cavicollis,adult,FALSE,NA,FALSE,TRUE,LO
Corticarina fuscula,adult,FALSE,NA,TRUE,FALSE,NA
Cortinicara gibbosa,adult,FALSE,NA,TRUE,FALSE,NA
Deraeocoris lutescens,adult,FALSE,NA,FALSE,TRUE,SE
Dermaptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Deruterosminthurus sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Desoria grisea,adult,FALSE,"(Lubbock, 1869)",TRUE,FALSE,NA
Desoria hiemalis,adult,FALSE,"(Schött, 1893)",TRUE,FALSE,NA
Desoria trispinata,adult,FALSE," (MacGillivray, 1896)",FALSE,TRUE,LO
Dicyrtoma minuta,adult,FALSE," (Fabricius, 1783)",TRUE,FALSE,NA
Dicyrtoma sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Dienerella filiformis,adult,FALSE,NA,FALSE,FALSE,NA
Dienerella vincenti,adult,FALSE,NA,FALSE,FALSE,NA
Diplocephalus cristatus,adult,FALSE,NA,TRUE,FALSE,NA
Diplopoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Diptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Diptera spp. juv.,larvae and pupae,TRUE,NA,FALSE,FALSE,NA
Dyschirius thoracicus,adult,FALSE,NA,TRUE,FALSE,NA
Dyschirius tristis,adult,FALSE,NA,TRUE,FALSE,NA
Elaphropus haemorrhoidalis,adult,FALSE,NA,FALSE,TRUE,NA
Elaphropus quadrisignatus,adult,FALSE,NA,FALSE,TRUE,NR
Elateridae spp. juv,larvae,TRUE,NA,FALSE,FALSE,NA
Embioptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Entomobrya cf. lanuginosa,adult,FALSE,"lanuginosa (Nicolet, 1841)",TRUE,FALSE,NA
Entomobrya nicoleti,adult,FALSE,"(Lubbock, 1867)",TRUE,FALSE,NA
Entomobrya nigrocincta,adult,FALSE,"Denis, 1923",FALSE,TRUE,NA
Entomobrya nigrocincta/multifasciata,adult,FALSE,NA,TRUE,FALSE,NA
Entomobrya sp.,adult,TRUE,NA,FALSE,FALSE,NA
Entomobrya sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Ephistemus globulus,adult,FALSE,NA,TRUE,FALSE,NA
Erichsonius signaticornis,adult,FALSE,NA,FALSE,TRUE,NK
Erigone atra,adult,FALSE,NA,TRUE,FALSE,NA
Erigone dentosa,adult,FALSE,NA,FALSE,TRUE,NR
Euplectus karsteni,adult,FALSE,NA,TRUE,FALSE,NA
Eupteryx decemnotata,adult,FALSE,NA,FALSE,TRUE,LO
Folsomia candida,adult,FALSE,"(Willem, 1902)",TRUE,FALSE,NA
Folsomia fimetaria,adult,FALSE,"(Linnaeus, 1758)",TRUE,FALSE,NA
Folsomia kuznetsovae,adult,FALSE,"Potapov & Taskaeva, 2009",TRUE,FALSE,NA
Folsomia litsteri,adult,FALSE,"Bagnall, 1939",TRUE,FALSE,NA
Folsomia manolachei,adult,FALSE,"Bagnall, 1939",TRUE,FALSE,NA
Folsomia quadrioculata,adult,FALSE,"(Tullberg, 1871)",TRUE,FALSE,NA
Folsomia similis,adult,FALSE,"Bagnall, 1939",FALSE,TRUE,LO
Folsomides centralis,adult,FALSE,"(Denis, 1931)",FALSE,TRUE,NA
Folsomides parvulus,adult,FALSE,"Stach, 1922",TRUE,FALSE,NA
Folsomides sp.,adult,TRUE,NA,FALSE,TRUE,NA
Folsomina onychiurina,adult,FALSE," Denis, 1931",FALSE,TRUE,NA
Formica rufa,adult,FALSE,NA,TRUE,FALSE,NA
Friesea claviseta,adult,FALSE,"Axelson, 1900",TRUE,FALSE,NA
Friesea mirabilis,adult,FALSE,"(Tullberg, 1871)",TRUE,FALSE,NA
Friesea sp. 0+0 oc,adult,TRUE,NA,FALSE,TRUE,NA
Friesea truncata,adult,FALSE,"Cassagnau, 1958",TRUE,FALSE,NA
Gabrius appendiculatus,adult,FALSE,NA,TRUE,FALSE,NA
Gabrius breviventer,adult,FALSE,NA,TRUE,FALSE,NA
Gabrius sp. (hunner),adult,TRUE,NA,FALSE,FALSE,NA
Gabronthus thermarum,adult,FALSE,NA,FALSE,TRUE,LO
Gastropoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Gnathonarium dentatum,adult,FALSE,NA,TRUE,FALSE,NA
Gongylidiellum latebricola,adult,FALSE,NA,TRUE,FALSE,NA
Gyrohypnus angustatus,adult,FALSE,NA,TRUE,FALSE,NA
Harpalus affinis,adult,FALSE,NA,TRUE,FALSE,NA
Harpalus rubripes,adult,FALSE,NA,FALSE,FALSE,NA
Harpalus tardus,adult,FALSE,NA,TRUE,FALSE,NA
Helophorus brevipalpis,adult,FALSE,NA,TRUE,FALSE,NA
Helophorus obscurus,adult,FALSE,NA,TRUE,FALSE,NA
Helophorus porculus,adult,FALSE,NA,FALSE,TRUE,LO
Hemisotoma bipunctata,adult,FALSE,NA,FALSE,FALSE,NA
Hemisotoma ponticus,adult,FALSE,"(Stach, 1947)",FALSE,TRUE,NA
Hemisotoma scapellifer,adult,FALSE,"(Gisin, 1955)",TRUE,FALSE,NA
Hemisotoma thermophila,adult,FALSE,"(Axelson, 1990)",TRUE,FALSE,NA
Heteromurus major,adult,FALSE,"Moniez, 1889",FALSE,TRUE,NA
Heteroptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Heteroptera spp. juv,juvenile,TRUE,NA,FALSE,FALSE,NA
Heteroptera spp. juv.,nymph,TRUE,NA,FALSE,FALSE,NA
Holoparamecus niger,adult,FALSE,NA,FALSE,TRUE,NR
Hydrosmecta leptotyphloides,adult,FALSE,NA,FALSE,FALSE,NA
Hypogastrura assimilis,adult,FALSE,"Krausbauer, 1898",TRUE,FALSE,NA
Hypogastrura distincta,adult,FALSE,NA,FALSE,TRUE,NA
Hypogastrura purpurescens,adult,FALSE,"(Lubbock, 1867)",TRUE,FALSE,NA
Hypoponera cf. eduardi,adult,FALSE,NA,FALSE,TRUE,NR
Hypoponera sp.,adult,TRUE,NA,FALSE,FALSE,NA
Ischnocera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Ischnosoma bergrothi,adult,FALSE,NA,FALSE,FALSE,NA
Isotoma anglicana,adult,FALSE,"Lubbock, 1862",TRUE,FALSE,NA
Isotoma caerulea,adult,FALSE,"Bourlet, 1839",TRUE,FALSE,NA
Isotoma sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Isotoma viridis,adult,FALSE,"Bourlet, 1839",TRUE,FALSE,NA
Isotomiella minor,adult,FALSE,"(Schäffer, 1896)",TRUE,FALSE,NA
Isotomodes productus,adult,FALSE,NA,FALSE,FALSE,NA
Isotomurus graminis,adult,FALSE,"Fjellberg, 2007",TRUE,FALSE,NA
Isotomurus maculatus,adult,FALSE,"(Schäffer, 1896)",TRUE,FALSE,NA
Isotomurus palustris,adult,FALSE,"(Müller, 1776)",TRUE,FALSE,NA
Isotomurus pseudopalustris,adult,FALSE,"Carapelli et al., 2001",FALSE,TRUE,NA
Isotomurus sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Kleidocerys resedae,adult,FALSE,NA,TRUE,FALSE,NA
Lasius fuliginosus,adult,FALSE,NA,TRUE,FALSE,NA
Lasius niger,adult,FALSE,NA,TRUE,FALSE,NA
Lasius platythorax,adult,FALSE,NA,TRUE,FALSE,NA
Latridius porcatus,adult,FALSE,NA,FALSE,FALSE,NA
Leiodes sp.,adult,TRUE,NA,FALSE,FALSE,NA
Lepidocyrtus cf. lanuginosus,adult,FALSE,"lanuginosus (Gmelin, 1790)",TRUE,FALSE,NA
Lepidocyrtus pallidus,adult,FALSE,"Reuter, 1890",FALSE,TRUE,LO
Lepidocyrtus sp.,adult,TRUE,NA,TRUE,FALSE,NA
Lepidoptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Lepidoptera spp. juv.,larvae,TRUE,NA,FALSE,FALSE,NA
Lesteva longoelytrata,adult,FALSE,NA,TRUE,FALSE,NA
Linepithema humile,adult,FALSE,NA,FALSE,TRUE,HI
Linyphidae spp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Lochmaea suturalis,adult,FALSE,NA,TRUE,FALSE,NA
Lygus rugulipennis,adult,FALSE,NA,TRUE,FALSE,NA
Mecinus pascuorum,adult,FALSE,NA,TRUE,FALSE,NA
Medon sp.,adult,TRUE,NA,FALSE,TRUE,NA
Megalothorax minimus,adult,FALSE,"Willem, 1900",TRUE,FALSE,NA
Megasternum concinnum,adult,FALSE,NA,TRUE,FALSE,NA
Megophthalmus scanicus,adult,FALSE,NA,TRUE,FALSE,NA
Melanophthalma fuscipennis,adult,FALSE,NA,FALSE,TRUE,NR
Meotica cf. marchica,adult,FALSE,NA,FALSE,TRUE,NR
